Sample,Crystallinity Ratio,Std. Dev.
G101,0.33304,0.03107
G102,0.37780,0.03107
G104,0.36172,0.03107
G105,0.37904,0.03107
G106,0.36352,0.03107
G107,0.34447,0.03107
G109,0.42218,0.03107
G110,0.33682,0.03107
G111,0.41264,0.03107
G112,0.41413,0.03107
G301,0.38359,0.02375
G302,0.39798,0.02375
G304,0.33813,0.02375
G305,0.35231,0.02375
G306,0.34305,0.02375
G307,0.32012,0.02375
G308,0.33533,0.02375
G309,0.37861,0.02375
G310,0.35016,0.02375
G311,0.32371,0.02375
G312,0.35628,0.02375
